Татарчага	татарча+N+Sg+DIR(ГА);
туганының	ту+V+PCP_PS(ГАн)+POSS_3(СЫ)+GEN(нЫң);туган+Adj+Sg+POSS_3(СЫ)+GEN(нЫң);
кызы	кыз+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Тагын	тагын+Adv;
Седрик	Rus
буенчамы	буенча+POST+INT(мЫ);
?	Type1
һАРРИ	һарри+N+Sg+Nom;
берни	берни+PN;
дә	дә+PART;
дәшми	дәш+V+NEG(мА)+PRES(Й);
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
бик	бик+Adv;
тиз	тиз+Adj;
уйларга	уй+N+PL(ЛАр)+DIR(ГА);уйла+V+INF_1(ЫргА);
баткан	бат+V+PCP_PS(ГАн);бат+V+PST_INDF(ГАн);
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
бүлмәгә	бүлмә+N+Sg+DIR(ГА);
карана	кара+V+REFL(Ын)+PRES(Й);каран+V+PRES(Й);
,	Type2
борчыла	борчы+V+PASS(Ыл)+PRES(Й);борчыл+V+PRES(Й);
,	Type2
аннан	аннан+PN;ул+PN+ABL(ДАн);
ишеккә	ишек+N+Sg+DIR(ГА);
кычкыра	кычкыр+V+PRES(Й);
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Этель	Rus
!	Type1
Гоблиннарны	гоблиннарн+N+Sg+POSS_3(СЫ)+Nom;гоблиннар+N+Sg+ACC(нЫ);
кире	кире+Adj;кире+Adv;
бор	бор+N+Sg+Nom;бор+PROP+Sg+Nom;бор+V+IMP_SG();
.	Type1
өЧЕНЧЕ	өч+Num+NUM_ORD(ЫнчЫ);
ПәРДә	пәрдә+N+Sg+Nom;
,	Type2
УНСИГЕЗЕНЧЕ	унсигез+Num+NUM_ORD(ЫнчЫ);
КүРЕНЕШ	күр+V+REFL(Ын)+RECP(Ыш)+IMP_SG();күр+V+REFL(Ын)+VN_2(Ыш)+Nom;күрен+V+RECP(Ыш)+IMP_SG();күрен+V+VN_2(Ыш)+Nom;күренеш+N+Sg+Nom;
ИЗГЕ	изге+Adj;
ОСВАЛЬД	Rus
ИСЕМЕНДәГЕ	исем+N+Sg+POSS_3(СЫ)+ATTR_LOC(ДАгЫ);
КАРТ	карт+Adj;карт+N+Sg+Nom;
ТЫЛСЫМЧЫЛАР	тылсым+N+PROF(чЫ)+PL(ЛАр)+Nom;
ЙОРТЫ	йорт+N+Sg+POSS_3(СЫ)+Nom;
әфсен	әфсен+N+Sg+Nom;
әйтергә	әйт+V+INF_1(ЫргА);
әзер	әзер+Adj;
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
таягы	таяк+N+Sg+POSS_3(СЫ)+Nom;
белән	белән+POST;
һАРРИ	һарри+N+Sg+Nom;
килеп	кил+V+ADVV_ACC(Ып);
керә	кер+V+PRES(Й);
,	Type2
ДРАКО	драко+N+Sg+Nom;
да	да+PART;
аның	ул+PN+GEN(нЫң);
белән	белән+POST;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Кайда	кай+PN+LOC(ДА);кайда+PN;
алар	алар+PN;
?	Type1
АМОС	Rus
:	Type2
һарри	һарри+N+Sg+Nom;
Поттер	Rus
,	Type2
нинди	нинди+PN;
хезмәт	хезмәт+N+Sg+Nom;
күрсәтә	күрсәт+V+PRES(Й);
алам	ал+V+PRES(Й)+1SG(м);
сезгә	сез+PN+DIR(ГА);
,	Type2
әфәндем	әфәнде+N+Sg+POSS_1SG(Ым)+Nom;
?	Type1
һәм	һәм+CNJ;
Драко	драко+N+Sg+Nom;
Малфой	малфой+N+Sg+Nom;
.	Type1
Нинди	нинди+PN;
хөрмәт	хөрмәт+N+Sg+Nom;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Улымны	ул+N+Sg+POSS_1SG(Ым)+ACC(нЫ);ул+PN+POSS_1SG(Ым)+ACC(нЫ);
ничек	ничек+PN;
кулланганыгызны	куллан+V+PCP_PS(ГАн)+POSS_2PL(ЫгЫз)+ACC(нЫ);
беләм	бел+V+PRES(Й)+1SG(м);
.	Type1
АМОС	Rus
:	Type2
Сезнең	сез+PN+GEN(нЫң);
улыгызны	ул+N+Sg+POSS_2PL(ЫгЫз)+ACC(нЫ);ул+PN+POSS_2PL(ЫгЫз)+ACC(нЫ);
кулланганмын	куллан+V+PCP_PS(ГАн)+1SG(мЫн);куллан+V+PST_INDF(ГАн)+1SG(мЫн);
?	Type1
Юк	юк+MOD;
.	Type1
Сез	сез+PN;
,	Type2
сэр	сэр+N+Sg+Nom;
,	Type2
минем	мин+PN+GEN(нЫң);
алтын	алтын+N+Sg+Nom;
улымны	ул+N+Sg+POSS_1SG(Ым)+ACC(нЫ);ул+PN+POSS_1SG(Ым)+ACC(нЫ);
кулландыгыз	куллан+V+PST_DEF(ДЫ)+2PL(гЫз);
.	Type1
ДРАКО	драко+N+Sg+Nom;
:	Type2
әйт	әйт+V+IMP_SG();
,	Type2
хәзер	хәзер+Adv;
үк	үк+PART;
,	Type2
Альбус	альбус+N+Sg+Nom;
белән	белән+POST;
Скорпиус	скорпиус+N+Sg+Nom;
кайда	кай+PN+LOC(ДА);кайда+PN;
?	Type1
әйтмәсәң	әйт+V+NEG(мА)+COND(сА)+2SG(ң);
,	Type2
нәтиҗәсе	нәтиҗә+N+Sg+POSS_3(СЫ)+Nom;
аянычлы	аяныч+Adj+Sg+ATTR_MUN(лЫ);
булачак	бул+V+FUT_DEF(АчАк);бул+V+PCP_FUT(АчАк);
.	Type1
АМОС	Rus
:	Type2
Аларның	алар+PN+GEN(нЫң);
кайда	кай+PN+LOC(ДА);кайда+PN;
булуын	бул+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);
мин	мин+PN;
каян	каян+Adv;каян+PN;
белергә	бел+V+INF_1(ЫргА);
тиеш	ти+V+RECP(Ыш)+IMP_SG();ти+V+VN_2(Ыш)+Nom;тиеш+MOD;
соң	соң+Adv;соң+N+Sg+Nom;соң+PART;соң+POST;
?	Type1
141	Num
ДРАКО	драко+N+Sg+Nom;
:	Type2
җүләргә	җүләр+Adj+Sg+DIR(ГА);
салышып	сал+V+RECP(Ыш)+ADVV_ACC(Ып);
шаярма	шаяр+V+NEG(мА)+IMP_SG();
безнең	без+N+Sg+GEN(нЫң);без+PN+GEN(нЫң);
белән	белән+POST;
,	Type2
карт	карт+Adj;карт+N+Sg+Nom;
.	Type1
Син	син+PN;
аңа	ул+PN+DIR(ГА);
ябалаклар	ябалак+N+PL(ЛАр)+Nom;
җибәргәнсең	җибәр+V+PCP_PS(ГАн)+2SG(сЫң);җибәр+V+PST_INDF(ГАн)+2SG(сЫң);
,	Type2
беләбез	бел+V+PRES(Й)+1PL(бЫз);
.	Type1
АМОС	Rus
:	Type2
Мин	мин+PN;
бернәрсә	бернәрсә+PN;
дә	дә+PART;
эшләмәдем	эшлә+V+NEG(мА)+PST_DEF(ДЫ)+1SG(м);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Амос	Rus
,	Type2
сез	сез+PN;
Азкабанга	азкабан+N+Sg+DIR(ГА);
җибәрмәслек	җибәр+V+PCP_FUT(мАс)+NMLZ(лЫк)+Sg+Nom;җибәр+V+PCP_FUT(мАс)+PSBL(лЫк);
карт	карт+Adj;карт+N+Sg+Nom;
түгел	түгел+PART;
.	Type1
Аларны	алар+PN+ACC(нЫ);
югалыр	югал+V+FUT_INDF(Ыр);югал+V+PCP_FUT(Ыр);
алдыннан	ал+N+Sg+POSS_3(СЫ)+ABL(ДАн);алдыннан+POST;
соңгы	соңгы+Adj;
тапкыр	тапкыр+Adj;тапкыр+N+Sg+Nom;
һогвартс	һогвартс+N+Sg+Nom;
манарасында	манара+N+Sg+POSS_3(СЫ)+LOC(ДА);
сезнең	сез+PN+GEN(нЫң);
туганыгызның	ту+V+PCP_PS(ГАн)+POSS_2PL(ЫгЫз)+GEN(нЫң);туган+Adj+Sg+POSS_2PL(ЫгЫз)+GEN(нЫң);
кызы	кыз+N+Sg+POSS_3(СЫ)+Nom;
белән	белән+POST;
күргәннәр	күр+V+PCP_PS(ГАн)+PL(ЛАр)+Nom;күр+V+PST_INDF(ГАн)+3PL(ЛАр);
.	Type1
АМОС	Rus
:	Type2
Мин	мин+PN;
берни	берни+PN;
дә	дә+PART;
аңламыйм…	Error
(	Type3
ул	ул+N+Sg+Nom;ул+PN;
аптырап	аптыра+V+ADVV_ACC(Ып);
туктап	тукта+V+ADVV_ACC(Ып);
кала	кал+V+PRES(Й);кала+N+Sg+Nom;
)	Type3
.	Type1
Туганымның	ту+V+PCP_PS(ГАн)+POSS_1SG(Ым)+GEN(нЫң);туган+Adj+Sg+POSS_1SG(Ым)+GEN(нЫң);туганым+N+Sg+GEN(нЫң);
кызы	кыз+N+Sg+POSS_3(СЫ)+Nom;
?	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Сезне	сез+PN+ACC(нЫ);
анда	анда+PN;ул+PN+LOC(ДА);
җибәрү	җибәр+V+VN_1(у/ү/в)+Nom;
өчен	өчен+POST;
берни	берни+PN;
комачау	комачау+N+Sg+Nom;
итми	ит+V+NEG(мА)+PRES(Й);
,	Type2
әйе	әйе+MOD;
,	Type2
туганыгызның	ту+V+PCP_PS(ГАн)+POSS_2PL(ЫгЫз)+GEN(нЫң);туган+Adj+Sg+POSS_2PL(ЫгЫз)+GEN(нЫң);
кызы	кыз+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);
сез	сез+PN;
әйткәннәрне	әйт+V+PCP_PS(ГАн)+PL(ЛАр)+ACC(нЫ);
үтәп	үтә+V+ADVV_ACC(Ып);
йөрүен	йөр+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);
дә	дә+PART;
инкарь	инкарь+N+Sg+Nom;
итәсезме	и+V+CAUS(т)+PRES(Й)+2PL(сЫз)+INT(мЫ);ит+V+PRES(Й)+2PL(сЫз)+INT(мЫ);
?	Type1
АМОС	Rus
:	Type2
әйе	әйе+MOD;
,	Type2
инкарь	инкарь+N+Sg+Nom;
итәм	и+V+CAUS(т)+HOR_SG(Йм);и+V+CAUS(т)+PRES(Й)+1SG(м);ит+V+PRES(Й)+1SG(м);
,	Type2
чөнки	чөнки+CNJ;
минем	мин+PN+GEN(нЫң);
туганнарымның	ту+V+PCP_PS(ГАн)+PL(ЛАр)+POSS_1SG(Ым)+GEN(нЫң);туган+Adj+PL(ЛАр)+POSS_1SG(Ым)+GEN(нЫң);туганнар+N+Sg+POSS_1SG(Ым)+GEN(нЫң);
кызы	кыз+N+Sg+POSS_3(СЫ)+Nom;
юк	юк+MOD;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
туктап	тукта+V+ADVV_ACC(Ып);
кала	кал+V+PRES(Й);кала+N+Sg+Nom;
.	Type1
ДРАКО	драко+N+Sg+Nom;
:	Type2
Юк	юк+MOD;
,	Type2
сезнең	сез+PN+GEN(нЫң);
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
монда	бу+PN+LOC(ДА);монда+Adv;
шәфкать	шәфкать+N+Sg+Nom;
туташы	туташ+N+Sg+POSS_3(СЫ)+Nom;
булып	бул+V+ADVV_ACC(Ып);
эшли	эшлә+V+PRES(Й);
.	Type1
Туганыгызның	ту+V+PCP_PS(ГАн)+POSS_2PL(ЫгЫз)+GEN(нЫң);туган+Adj+Sg+POSS_2PL(ЫгЫз)+GEN(нЫң);
кызы…	Error
Дельфини	дельфини+N+Sg+Nom;
Диггори	диггори+N+Sg+Nom;
.	Type1
АМОС	Rus
:	Type2
Туганымның	ту+V+PCP_PS(ГАн)+POSS_1SG(Ым)+GEN(нЫң);туган+Adj+Sg+POSS_1SG(Ым)+GEN(нЫң);туганым+N+Sg+GEN(нЫң);
кызы	кыз+N+Sg+POSS_3(СЫ)+Nom;
булмавын	бул+V+NEG(мА)+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);
мин	мин+PN;
төгәл	төгәл+Adj;
беләм	бел+V+PRES(Й)+1SG(м);
,	Type2
чөнки	чөнки+CNJ;
минем	мин+PN+GEN(нЫң);
бернинди	бернинди+PN;
дә	дә+PART;
абый-энеләрем	абый-эн+N+PL(ЛАр)+POSS_3(СЫ)+Nom;абый-э+N+PL(ЛАр)+POSS_1SG(Ым)+ACC(нЫ);
яки	яки+CNJ;
апа-сеңелләрем	апа-сеңел+N+PL(ЛАр)+POSS_1SG(Ым)+Nom;
булмады	бул+V+NEG(мА)+PST_DEF(ДЫ);
.	Type1
Хатынымның	хатын+N+Sg+POSS_1SG(Ым)+GEN(нЫң);
да	да+PART;
юк	юк+MOD;
иде	и+V+PST_DEF(ДЫ);
.	Type1
ДРАКО	драко+N+Sg+Nom;
:	Type2
Хәзер	хәзер+Adv;
үк	үк+PART;
ул	ул+N+Sg+Nom;ул+PN;
кызның	кыз+N+Sg+GEN(нЫң);
кем	кем+PN;
булуын	бул+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);
белергә	бел+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
.	Type1
өЧЕНЧЕ	өч+Num+NUM_ORD(ЫнчЫ);
ПәРДә	пәрдә+N+Sg+Nom;
,	Type2
УНТУГЫЗЫНЧЫ	унтугыз+Num+NUM_ORD(ЫнчЫ);
КүРЕНЕШ	күр+V+REFL(Ын)+RECP(Ыш)+IMP_SG();күр+V+REFL(Ын)+VN_2(Ыш)+Nom;күрен+V+RECP(Ыш)+IMP_SG();күрен+V+VN_2(Ыш)+Nom;күренеш+N+Sg+Nom;
һОГВАРТС	һогвартс+N+Sg+Nom;
,	Type2
КВИДДИЧ	квиддич+N+Sg+Nom;
КЫРЫ	кыр+N+Sg+POSS_3(СЫ)+Nom;
Без	без+N+Sg+Nom;без+PN;
шәхесенең	шәхес+N+Sg+POSS_3(СЫ)+GEN(нЫң);
үзгәрүенә	үзгәр+V+VN_1(у/ү/в)+POSS_3(СЫ)+DIR(ГА);
куанган	куан+V+PCP_PS(ГАн);куан+V+PST_INDF(ГАн);
,	Type2
моның	бу+PN+GEN(нЫң);
һәр	һәр+PN;
секундыннан	секунд+N+Sg+POSS_3(СЫ)+ABL(ДАн);
ләззәт	ләззәт+N+Sg+Nom;
алган	ал+V+PCP_PS(ГАн);ал+V+PST_INDF(ГАн);
ДЕЛЬФИны	дельфин+N+Sg+POSS_3(СЫ)+Nom;
күрәбез	күр+V+PRES(Й)+1PL(бЫз);
.	Type1
Элек	элек+Adv;элек+POST;
аңа	ул+PN+DIR(ГА);
үзен	үз+PN+POSS_3(СЫ)+ACC(нЫ);
ачу	ач+V+VN_1(у/ү/в)+Nom;ачу+N+Sg+Nom;
куркыныч	куркыныч+Adj;
булып	бул+V+ADVV_ACC(Ып);
,	Type2
аңа	ул+PN+DIR(ГА);
гел	гел+Adv;
уңайсыз	уңай+Adj+2PL(сЫз);уңай+Adj+ATTR_ABES(сЫз)+Sg+Nom;уңай+Adj+Sg+ATTR_ABES(сЫз)+Sg+Nom;
булса	бул+V+COND(сА);
,	Type2
хәзер	хәзер+Adv;
ул	ул+N+Sg+Nom;ул+PN;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
көчен	көч+N+Sg+POSS_3(СЫ)+ACC(нЫ);
куллана	куллан+V+PRES(Й);
ала	ал+V+PRES(Й);ала+Adj;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Нишлибез	нишлә+V+PRES(Й)+1PL(бЫз);
без	без+N+Sg+Nom;без+PN;
квиддич	квиддич+N+Sg+Nom;
кырында	кыр+N+Sg+POSS_3(СЫ)+LOC(ДА);кырында+POST;
?	Type1
ДЕЛЬФИ	дельфи+N+Sg+Nom;
берни	берни+PN;
әйтми	әйт+V+NEG(мА)+PRES(Й);
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
өч	өч+Num;
тылсымчы	тылсым+N+PROF(чЫ)+Sg+Nom;
бәйгесе	бәйге+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
өченче	өч+Num+NUM_ORD(ЫнчЫ);
бирем	бирем+N+Sg+Nom;
.	Type1
Лабиринт	лабиринт+N+Sg+Nom;
.	Type1
Бу	бу+PN;
лабиринт	лабиринт+N+Sg+Nom;
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
урын	урын+N+Sg+Nom;
.	Type1
Без	без+N+Sg+Nom;без+PN;
Седрик	Rus
артыннан	арт+Adj+Sg+POSS_3(СЫ)+ABL(ДАн);артыннан+POST;
барабыз	бар+V+PRES(Й)+1PL(бЫз);
.	Type1
ДЕЛЬФИ	дельфи+N+Sg+Nom;
:	Type2
әйе	әйе+MOD;
,	Type2
бу	бу+PN;
артык	артык+Adj;
җанны	җан+N+Sg+ACC(нЫ);
инде	инде+PART;
мәңгегә	мәңгегә+Adv;
юк	юк+MOD;
итәр	и+V+CAUS(т)+PCP_FUT(Ыр);ит+V+PCP_FUT(Ыр);
вакыт	вакыт+N+Sg+Nom;
.	Type1
Без	без+N+Sg+Nom;без+PN;
Седрик	Rus
артыннан	арт+Adj+Sg+POSS_3(СЫ)+ABL(ДАн);артыннан+POST;
барабыз	бар+V+PRES(Й)+1PL(бЫз);
.	Type1
Шулай	шулай+PN;
итеп	ит+V+ADVV_ACC(Ып);
без	без+N+Sg+Nom;без+PN;
,	Type2
Скорпиус	скорпиус+N+Sg+Nom;
,	Type2
син	син+PN;
күргән	күр+V+PCP_PS(ГАн);күр+V+PST_INDF(ГАн);
дөньяны	дөнья+N+Sg+ACC(нЫ);
тергезербез…	Error
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Тәмуг	тәмуг+N+Sg+Nom;
.	Type1
Син	син+PN;
тәмугны	тәмуг+N+Sg+ACC(нЫ);
тергезергә	тергез+V+INF_1(ЫргА);
телисеңме	телә+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);телә+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
?	Type1
142	Num
ДЕЛЬФИ	дельфи+N+Sg+Nom;
:	Type2
Мин	мин+PN;
саф	саф+Adj;
һәм	һәм+CNJ;
көчле	көч+N+ATTR_MUN(лЫ);
тылсымны	тылсым+N+Sg+ACC(нЫ);
кайтарырга	кайтар+V+INF_1(ЫргА);
телим	тел+V+HOR_SG(Йм);телә+V+HOR_SG(Йм);телә+V+PRES(Й)+1SG(м);
.	Type1
Мин	мин+PN;
Караңгылыкны	караңгы+Adj+NMLZ(лЫк)+Sg+ACC(нЫ);караңгы+Adj+PSBL(лЫк)+ACC(нЫ);
кире	кире+Adj;кире+Adv;
тудырырга	ту+V+CAUS(ДЫр)+INF_1(ЫргА);тудыр+V+INF_1(ЫргА);
хыялланам	хыяллан+V+PRES(Й)+1SG(м);
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Син	син+PN;
Волдемортның	волдемортн+N+Sg+POSS_2SG(Ың)+Nom;волдеморт+N+Sg+GEN(нЫң);
кайтуын	кайт+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);
телисеңме	телә+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);телә+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
?	Type1
ДЕЛЬФИ	дельфи+N+Sg+Nom;
:	Type2
Тылсым	тылсым+N+Sg+Nom;
дөньясының	дөнья+N+Sg+POSS_3(СЫ)+GEN(нЫң);
бердәнбер	бердәнбер+N+Sg+Nom;
дөрес	дөрес+Adj;дөрес+Adv;
хакиме	хаки+Adj+INT(мЫ);хаким+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
кайтачак	кайт+V+FUT_DEF(АчАк);кайт+V+PCP_FUT(АчАк);
.	Type1
Хәзер	хәзер+Adv;
,	Type2
сез	сез+PN;
алдагы	ал+Adj+Sg+ATTR_LOC(ДАгЫ);ал+N+Sg+ATTR_LOC(ДАгЫ);ал+PN+ATTR_LOC(ДАгЫ);алдагы+Adj;
ике	ике+Num;
биремне	бирем+N+Sg+ACC(нЫ);
тылсым	тылсым+N+Sg+Nom;
белән	белән+POST;
тутырырга	тутыр+V+INF_1(ЫргА);
өлгердегез	өлгер+V+PST_DEF(ДЫ)+2PL(гЫз);
,	Type2
икесенә	ике+Num+POSS_3(СЫ)+DIR(ГА);
дә	дә+PART;
кимендә	ким+Adj+Sg+POSS_3(СЫ)+LOC(ДА);кимендә+Adv;
ике	ике+Num;
тапкыр	тапкыр+Adj;тапкыр+N+Sg+Nom;
киләчәктән	кил+V+PCP_FUT(АчАк)+ABL(ДАн);киләчәк+N+Sg+ABL(ДАн);
килеп	кил+V+ADVV_ACC(Ып);
сәяхәт	сәяхәт+N+Sg+Nom;
иттеләр	и+V+CAUS(т)+PST_DEF(ДЫ)+3PL(ЛАр);ит+V+CAUS(т)+PASS(Ыл)+PCP_FUT(Ыр);ит+V+PST_DEF(ДЫ)+3PL(ЛАр);
,	Type2
шуңа	шул+PN+DIR(ГА);
мин	мин+PN;
анда	анда+PN;ул+PN+LOC(ДА);
барып	бар+V+ADVV_ACC(Ып);
күренеп	күр+V+REFL(Ын)+ADVV_ACC(Ып);күрен+V+ADVV_ACC(Ып);
яки	яки+CNJ;
игътибарымны	игътибар+N+Sg+POSS_1SG(Ым)+ACC(нЫ);
читкә	чит+Adj+Sg+DIR(ГА);чит+N+Sg+DIR(ГА);
юнәлтеп	юнәл+V+CAUS(т)+ADVV_ACC(Ып);юнәлт+V+ADVV_ACC(Ып);
эшне	эш+N+Sg+ACC(нЫ);
куркыныч	куркыныч+Adj;
астына	ас+N+Sg+POSS_3(СЫ)+DIR(ГА);ас+V+CAUS(т)+REFL(Ын)+PRES(Й);астына+POST;
куймыйм	куй+V+NEG(мА)+HOR_SG(Йм);куй+V+NEG(мА)+PRES(Й)+1SG(м);
.	Type1
өченче	өч+Num+NUM_ORD(ЫнчЫ);
бирем	бирем+N+Sg+Nom;
чиста	чиста+Adj;
,	Type2
шулай	шулай+PN;
булгач	бул+V+ADVV_ANT(ГАч);
,	Type2
керешәбез	кер+V+RECP(Ыш)+PRES(Й)+1PL(бЫз);
,	Type2
әйеме	әйе+MOD+INT(мЫ);
?	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Без	без+N+Sg+Nom;без+PN;
аны	ул+PN+ACC(нЫ);
туктата	тукта+V+CAUS(т)+PRES(Й);туктат+V+PRES(Й);
алмаячакбыз	ал+V+NEG(мА)+FUT_DEF(АчАк)+1PL(бЫз);ал+V+NEG(мА)+PCP_FUT(АчАк)+1PL(бЫз);
.	Type1
Безне	без+PN+ACC(нЫ);
ничек	ничек+PN;
мәҗбүр	мәҗбүр+Adj;
итсәң	и+V+CAUS(т)+COND(сА)+2SG(ң);ит+V+COND(сА)+2SG(ң);
дә	дә+PART;
,	Type2
аңа	ул+PN+DIR(ГА);
бәйгене	бәйге+N+Sg+ACC(нЫ);
минем	мин+PN+GEN(нЫң);
әти	әти+N+Sg+Nom;
белән	белән+POST;
бергә	бер+Num+DIR(ГА);бер+PN+DIR(ГА);бергә+Adv;
җиңәргә	җиң+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
икәнен	икән+MOD+Sg+POSS_3(СЫ)+ACC(нЫ);
беләбез	бел+V+PRES(Й)+1PL(бЫз);
.	Type1
ДЕЛЬФИ	дельфи+N+Sg+Nom;
:	Type2
Миңа	мин+PN+DIR(ГА);
сезнең	сез+PN+GEN(нЫң);
аны	ул+PN+ACC(нЫ);
туктатуыгыз	тукта+V+CAUS(т)+VN_1(у/ү/в)+POSS_2PL(ЫгЫз)+Nom;туктат+V+VN_1(у/ү/в)+POSS_2PL(ЫгЫз)+Nom;
кирәкми	кирәк+V+NEG(мА)+PRES(Й);
дә	дә+PART;
.	Type1
Сез	сез+PN;
аны	ул+PN+ACC(нЫ);
мәсхәрәләргә	мәсхәрә+N+PL(ЛАр)+DIR(ГА);мәсхәрәлә+V+INF_1(ЫргА);
тиеш	ти+V+RECP(Ыш)+IMP_SG();ти+V+VN_2(Ыш)+Nom;тиеш+MOD;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
шәмәхә	шәмәхә+N+Sg+Nom;
каурыйдан	каурый+N+Sg+ABL(ДАн);
ясалган	яса+V+PASS(Ыл)+PCP_PS(ГАн);яса+V+PASS(Ыл)+PST_INDF(ГАн);ясал+V+PCP_PS(ГАн);ясал+V+PST_INDF(ГАн);
себеркегә	себерке+N+Sg+DIR(ГА);
шәрә	шәрә+Adj;
килеш	кил+V+RECP(Ыш)+IMP_SG();кил+V+VN_2(Ыш)+Nom;килеш+N+Sg+Nom;килеш+POST;килеш+V+IMP_SG();
утырып	утыр+V+ADVV_ACC(Ып);
,	Type2
лабиринт	лабиринт+N+Sg+Nom;
өстеннән	өс+N+Sg+POSS_3(СЫ)+ABL(ДАн);өстен+Adj+Sg+ABL(ДАн);өстеннән+POST;
очып	оч+V+ADVV_ACC(Ып);
чыгарга	чык+V+INF_1(ЫргА);
тиеш	ти+V+RECP(Ыш)+IMP_SG();ти+V+VN_2(Ыш)+Nom;тиеш+MOD;
.	Type1
Теге	теге+PN;
юлы	юл+N+Sg+POSS_3(СЫ)+Nom;
хур	хур+Adj;
калдыру	кал+V+CAUS(ДЫр)+VN_1(у/ү/в)+Nom;калдыр+V+VN_1(у/ү/в)+Nom;
үз	үз+PN;
эшен	эш+N+Sg+POSS_3(СЫ)+ACC(нЫ);
эшләгән	эшлә+V+PCP_PS(ГАн);эшлә+V+PST_INDF(ГАн);
бит	бит+N+Sg+Nom;бит+PART;
,	Type2
һәм	һәм+CNJ;
хәзер	хәзер+Adv;
дә	дә+PART;
ул	ул+N+Sg+Nom;ул+PN;
безгә	без+PN+DIR(ГА);
булышачак	бул+V+RECP(Ыш)+FUT_DEF(АчАк);бул+V+RECP(Ыш)+PCP_FUT(АчАк);
.	Type1
һәм	һәм+CNJ;
күрәзә	күрәзә+N+Sg+Nom;
чынга	чын+Adj+Sg+DIR(ГА);
ашачак	аш+V+FUT_DEF(АчАк);аш+V+PCP_FUT(АчАк);
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Күрәзә	күрәзә+N+Sg+Nom;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
дип	ди+V+ADVV_ACC(Ып);
ишеткәнем	ишет+V+PCP_PS(ГАн)+POSS_1SG(Ым)+Nom;
булмады	бул+V+NEG(мА)+PST_DEF(ДЫ);
,	Type2
нинди	нинди+PN;
күрәзә	күрәзә+N+Sg+Nom;
тагын	тагын+Adv;
?	Type1
ДЕЛЬФИ	дельфи+N+Sg+Nom;
:	Type2
Скорпиус	скорпиус+N+Sg+Nom;
,	Type2
син	син+PN;
дөньяның	дөнья+N+Sg+GEN(нЫң);
нинди	нинди+PN;
булырга	бул+V+INF_1(ЫргА);
тиешлеген	тиешлек+N+Sg+POSS_3(СЫ)+ACC(нЫ);
күрдең	күр+V+PST_DEF(ДЫ)+2SG(ң);
,	Type2
һәм	һәм+CNJ;
бүген	бүген+Adv;
без	без+N+Sg+Nom;без+PN;
аның	ул+PN+GEN(нЫң);
кайтуын	кайт+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);
тәэмин	тәэмин+N+Sg+Nom;
